DATA;WORK_ORDER;ID_OPERADOR;ID_EQUIPE;QTDE;ID_GRADE;ID_PRODUTO;ID_COR
01/07/2024;36719;2854;2917;9;7;338292;555760
01/07/2024;36720;2854;2917;8;7;351110;555756
01/07/2024;36720;2854;2917;11;7;351110;555756
01/07/2024;36720;2854;2917;12;7;351110;555756
01/07/2024;36720;2854;2917;13;7;351110;555756
01/07/2024;36721;2854;2917;10;3;333088;555756
01/07/2024;36721;2854;2917;10;3;333088;555756
01/07/2024;36721;2854;2917;12;3;333088;555756
01/07/2024;36721;2854;2917;12;3;333088;555756
01/07/2024;36719;2854;2917;3;3;338292;555760
01/07/2024;36719;2854;2917;5;3;338292;555760
01/07/2024;36719;2854;2917;6;3;338292;555760
01/07/2024;36720;2854;2917;6;3;351110;555756
01/07/2024;36720;2854;2917;7;3;351110;555756
01/07/2024;36720;2854;2917;11;3;351110;555756
01/07/2024;36721;2854;2917;9;4;333088;555756
01/07/2024;36721;2854;2917;9;4;333088;555756
01/07/2024;36721;2854;2917;10;4;333088;555756
01/07/2024;36721;2854;2917;10;4;333088;555756
01/07/2024;36719;2854;2917;6;4;338292;555760
01/07/2024;36719;2854;2917;12;4;338292;555760
01/07/2024;36721;2854;2917;7;5;333088;555756
01/07/2024;36721;2854;2917;9;5;333088;555756
01/07/2024;36721;2854;2917;9;5;333088;555756
01/07/2024;36719;2854;2917;9;5;338292;555760
01/07/2024;36720;2854;2917;8;5;351110;555756
01/07/2024;36720;2854;2917;10;5;351110;555756
01/07/2024;36720;2854;2917;11;5;351110;555756
01/07/2024;36721;2854;2917;4;6;333088;555756
02/07/2024;36722;2834;2917;6;3;341300;555756
02/07/2024;36722;2834;2917;7;3;341300;555756
02/07/2024;36722;2834;2917;5;4;341300;555756
02/07/2024;36722;2834;2917;7;4;341300;555756
02/07/2024;36722;2834;2917;9;4;341300;555756
02/07/2024;36722;2834;2917;4;5;341300;555756
02/07/2024;36722;2834;2917;6;5;341300;555756
02/07/2024;36722;2834;2917;7;5;341300;555756
02/07/2024;36723;2854;2917;6;7;345406;555756
02/07/2024;36723;2854;2917;7;7;345406;555756
02/07/2024;36724;2854;2917;11;7;333088;555755
02/07/2024;36724;2854;2917;11;7;333088;555755
02/07/2024;36725;2854;2917;13;7;342501;555759
02/07/2024;36726;2854;2917;12;7;334879;555755
02/07/2024;36723;2854;2917;9;3;345406;555756
02/07/2024;36723;2854;2917;10;3;345406;555756
02/07/2024;36724;2854;2917;10;3;333088;555755
02/07/2024;36724;2854;2917;13;3;333088;555755
02/07/2024;36724;2854;2917;15;3;333088;555755
02/07/2024;36725;2854;2917;15;3;342501;555759
02/07/2024;36726;2854;2917;20;3;334879;555755
02/07/2024;36723;2854;2917;7;4;345406;555756
02/07/2024;36723;2854;2917;9;4;345406;555756
02/07/2024;36724;2854;2917;14;4;333088;555755
02/07/2024;36724;2854;2917;15;4;333088;555755
02/07/2024;36725;2854;2917;25;4;342501;555759
02/07/2024;36723;2854;2917;12;5;345406;555756
02/07/2024;36724;2854;2917;9;5;333088;555755
02/07/2024;36724;2854;2917;11;5;333088;555755
02/07/2024;36725;2854;2917;12;5;342501;555759
02/07/2024;36727;2855;2917;4;3;347895;555756
02/07/2024;36728;2855;2917;4;3;342630;555757
02/07/2024;36729;2855;2917;4;3;342630;555758
03/07/2024;36730;2826;2917;4;3;330074;555754
03/07/2024;36731;2854;2917;8;7;347612;555759
03/07/2024;36731;2854;2917;8;7;347612;555759
03/07/2024;36732;2854;2917;21;7;343295;555754
03/07/2024;36731;2854;2917;4;7;347612;555759
03/07/2024;36731;2854;2917;5;7;347612;555759
03/07/2024;36731;2854;2917;10;3;347612;555759
03/07/2024;36731;2854;2917;10;3;347612;555759
03/07/2024;36731;2854;2917;11;3;347612;555759
03/07/2024;36731;2854;2917;12;3;347612;555759
03/07/2024;36731;2854;2917;13;3;347612;555759
03/07/2024;36731;2854;2917;14;3;347612;555759
03/07/2024;36731;2854;2917;14;3;347612;555759
03/07/2024;36732;2854;2917;13;3;343295;555754
03/07/2024;36732;2854;2917;14;3;343295;555754
03/07/2024;36732;2854;2917;16;3;343295;555754
03/07/2024;36732;2854;2917;18;3;343295;555754
03/07/2024;36731;2854;2917;8;4;347612;555759
03/07/2024;36731;2854;2917;9;4;347612;555759
03/07/2024;36731;2854;2917;12;4;347612;555759
03/07/2024;36731;2854;2917;13;4;347612;555759
03/07/2024;36732;2854;2917;9;4;343295;555754
03/07/2024;36732;2854;2917;12;4;343295;555754
03/07/2024;36732;2854;2917;16;4;343295;555754
03/07/2024;36731;2854;2917;4;4;347612;555759
03/07/2024;36731;2854;2917;5;4;347612;555759
03/07/2024;36731;2854;2917;8;5;347612;555759
03/07/2024;36731;2854;2917;8;5;347612;555759
03/07/2024;36731;2854;2917;13;5;347612;555759
03/07/2024;36732;2854;2917;12;5;343295;555754
03/07/2024;36732;2854;2917;12;5;343295;555754
03/07/2024;36733;2855;2917;4;3;355311;555760
03/07/2024;36734;2855;2917;4;3;345791;555757
03/07/2024;36735;2855;2917;4;3;337981;555760
04/07/2024;36736;2834;2917;4;3;342504;555760
04/07/2024;36737;2834;2917;4;3;326635;555760
04/07/2024;36738;2834;2917;4;3;330454;555760
04/07/2024;36739;2834;2917;4;3;345791;555760
04/07/2024;36740;2834;2917;4;3;355311;555760
04/07/2024;36741;2834;2917;4;3;345791;555754
04/07/2024;36742;2834;2917;4;3;331268;555754
04/07/2024;36743;2834;2917;4;3;346359;555754
04/07/2024;36744;2854;2917;12;7;343295;555754
04/07/2024;36745;2854;2917;7;7;333088;555762
04/07/2024;36745;2854;2917;9;7;333088;555762
04/07/2024;36746;2854;2917;4;7;346732;555756
04/07/2024;36746;2854;2917;5;7;346732;555756
04/07/2024;36746;2854;2917;6;7;346732;555756
04/07/2024;36746;2854;2917;7;7;346732;555756
04/07/2024;36746;2854;2917;8;7;346732;555756
04/07/2024;36747;2854;2917;4;3;342036;555754
04/07/2024;36744;2854;2917;12;3;343295;555754
04/07/2024;36744;2854;2917;15;3;343295;555754
04/07/2024;36744;2854;2917;17;3;343295;555754
04/07/2024;36745;2854;2917;10;3;333088;555762
04/07/2024;36745;2854;2917;12;3;333088;555762
04/07/2024;36745;2854;2917;14;3;333088;555762
04/07/2024;36744;2854;2917;14;4;343295;555754
04/07/2024;36744;2854;2917;15;4;343295;555754
04/07/2024;36745;2854;2917;8;4;333088;555762
04/07/2024;36745;2854;2917;8;4;333088;555762
04/07/2024;36745;2854;2917;15;4;333088;555762
04/07/2024;36746;2854;2917;7;4;346732;555756
04/07/2024;36744;2854;2917;18;5;343295;555754
04/07/2024;36745;2854;2917;7;5;333088;555762
04/07/2024;36746;2854;2917;4;5;346732;555756
04/07/2024;36746;2854;2917;4;5;346732;555756
04/07/2024;36746;2854;2917;5;5;346732;555756
04/07/2024;36746;2854;2917;6;5;346732;555756
04/07/2024;36746;2854;2917;7;5;346732;555756
04/07/2024;36746;2854;2917;7;5;346732;555756
05/07/2024;36748;2834;2917;4;3;345791;555760
05/07/2024;36749;2834;2917;4;3;346359;555759
05/07/2024;36748;2834;2917;4;3;345791;555760
05/07/2024;36750;2854;2917;5;7;338547;555759
05/07/2024;36750;2854;2917;6;7;338547;555759
05/07/2024;36751;2854;2917;12;7;341355;555758
05/07/2024;36752;2854;2917;20;7;330074;555762
05/07/2024;36753;2854;2917;4;7;334675;555760
05/07/2024;36754;2854;2917;2;7;331268;555758
05/07/2024;36750;2854;2917;6;3;338547;555759
05/07/2024;36750;2854;2917;7;3;338547;555759
05/07/2024;36751;2854;2917;18;3;341355;555758
05/07/2024;36751;2854;2917;20;3;341355;555758
05/07/2024;36752;2854;2917;15;3;330074;555762
05/07/2024;36752;2854;2917;18;3;330074;555762
05/07/2024;36752;2854;2917;19;3;330074;555762
05/07/2024;36752;2854;2917;21;3;330074;555762
05/07/2024;36753;2854;2917;6;3;334675;555760
05/07/2024;36754;2854;2917;5;3;331268;555758
05/07/2024;36750;2854;2917;6;4;338547;555759
05/07/2024;36752;2854;2917;15;4;330074;555762
05/07/2024;36752;2854;2917;20;4;330074;555762
05/07/2024;36752;2854;2917;22;4;330074;555762
05/07/2024;36753;2854;2917;6;4;334675;555760
05/07/2024;36754;2854;2917;3;4;331268;555758
